problem,model,comparison_group,param_count,data_mse_mean,data_mse_std,physics_residual_mean,physics_residual_std,epochs_trained_mean,epochs_trained_std,seconds_per_epoch_mean,inference_ms_mean
duffing,tapinn,physics_trained,8426,0.4346734583377838,0.0,0.04958804324269295,0.0,4.0,0.0,0.32370927325246157,15.070132998516783
duffing,standard_pinn,physics_trained,8642,0.4228886067867279,0.0,0.06115192174911499,0.0,4.0,0.0,0.009745499250129797,0.5611400119960308
duffing,hyperpinn,physics_trained,40258,0.4360928535461426,0.0,0.05051681771874428,0.0,4.0,0.0,0.0181959662513691,0.6938720034668222
duffing,deeponet,physics_trained,17856,0.3426419794559479,0.0,0.03432578966021538,0.0,4.0,0.0,0.009464241004025098,0.7892079884186387
duffing,fno,supervised_only,898,0.5876232981681824,0.0,0.1477629393339157,0.0,4.0,0.0,0.1747846907528583,66.74962400575168
lorenz,tapinn,physics_trained,8587,0.1767992377281189,0.0,2.593783140182495,0.0,4.0,0.0,0.013733071999013191,0.9057690040208399
lorenz,standard_pinn,physics_trained,8707,0.11247751116752625,0.0,13.515149116516113,0.0,4.0,0.0,0.010699968246626668,0.6356220110319555
lorenz,hyperpinn,physics_trained,41347,67.71572875976562,0.0,878.5853271484375,0.0,4.0,0.0,0.01149224949767813,0.7582609978271648
lorenz,deeponet,physics_trained,22528,0.27793073654174805,0.0,9.481282234191895,0.0,4.0,0.0,0.010771906749141635,0.856080005178228
lorenz,fno,supervised_only,971,0.18880686163902283,0.0,20.82272720336914,0.0,4.0,0.0,0.004056530749949161,1.4964700094424188
kuramoto,tapinn,physics_trained,8909,0.21144947409629822,0.0,0.055610258132219315,0.0,4.0,0.0,0.015676975996029796,0.906403991393745
kuramoto,standard_pinn,physics_trained,8837,0.17443418502807617,0.0,0.05398368462920189,0.0,4.0,0.0,0.01257637975140824,0.5972929939161986
kuramoto,hyperpinn,physics_trained,43525,0.14807364344596863,0.0,0.05238906294107437,0.0,4.0,0.0,0.013279908005642937,0.9479090076638386
kuramoto,deeponet,physics_trained,31872,0.16850997507572174,0.0,0.0603937953710556,0.0,4.0,0.0,0.013243528748716926,0.7371720130322501
kuramoto,fno,supervised_only,1117,0.19273129105567932,0.0,0.06582484394311905,0.0,4.0,0.0,0.004303478744986933,1.3075939932605252
