problem,seed,model,comparison_group,data_mse,physics_residual,param_count,epochs_trained,best_val_loss,seconds_per_epoch,inference_ms
duffing,42,tapinn,physics_trained,0.4346734583377838,0.04958804324269295,8426,4,inf,0.32370927325246157,15.070132998516783
duffing,42,standard_pinn,physics_trained,0.4228886067867279,0.06115192174911499,8642,4,inf,0.009745499250129797,0.5611400119960308
duffing,42,hyperpinn,physics_trained,0.4360928535461426,0.05051681771874428,40258,4,inf,0.0181959662513691,0.6938720034668222
duffing,42,deeponet,physics_trained,0.3426419794559479,0.03432578966021538,17856,4,inf,0.009464241004025098,0.7892079884186387
duffing,42,fno,supervised_only,0.5876232981681824,0.1477629393339157,898,4,inf,0.1747846907528583,66.74962400575168
lorenz,42,tapinn,physics_trained,0.1767992377281189,2.593783140182495,8587,4,inf,0.013733071999013191,0.9057690040208399
lorenz,42,standard_pinn,physics_trained,0.11247751116752625,13.515149116516113,8707,4,inf,0.010699968246626668,0.6356220110319555
lorenz,42,hyperpinn,physics_trained,67.71572875976562,878.5853271484375,41347,4,inf,0.01149224949767813,0.7582609978271648
lorenz,42,deeponet,physics_trained,0.27793073654174805,9.481282234191895,22528,4,inf,0.010771906749141635,0.856080005178228
lorenz,42,fno,supervised_only,0.18880686163902283,20.82272720336914,971,4,inf,0.004056530749949161,1.4964700094424188
kuramoto,42,tapinn,physics_trained,0.21144947409629822,0.055610258132219315,8909,4,inf,0.015676975996029796,0.906403991393745
kuramoto,42,standard_pinn,physics_trained,0.17443418502807617,0.05398368462920189,8837,4,inf,0.01257637975140824,0.5972929939161986
kuramoto,42,hyperpinn,physics_trained,0.14807364344596863,0.05238906294107437,43525,4,inf,0.013279908005642937,0.9479090076638386
kuramoto,42,deeponet,physics_trained,0.16850997507572174,0.0603937953710556,31872,4,inf,0.013243528748716926,0.7371720130322501
kuramoto,42,fno,supervised_only,0.19273129105567932,0.06582484394311905,1117,4,inf,0.004303478744986933,1.3075939932605252
