problem,model,comparison_group,param_count,data_mse_mean,data_mse_std,physics_residual_mean,physics_residual_std,epochs_trained_mean,epochs_trained_std,seconds_per_epoch_mean,inference_ms_mean
allen_cahn,tapinn,physics_trained,10729,0.3277309834957123,0.0,0.022569909691810608,0.0,4.0,0.0,0.17715824275001069,0.9739160013850778
allen_cahn,standard_pinn,physics_trained,8641,0.2652537226676941,0.0,0.008913476951420307,0.0,4.0,0.0,0.01015227099560434,0.6422220030799508
allen_cahn,hyperpinn,physics_trained,40225,0.23809073865413666,0.0,0.025652645155787468,0.0,4.0,0.0,0.011314626746752765,0.7711759972153232
allen_cahn,deeponet,physics_trained,17856,0.2500389516353607,0.0,0.01759088970720768,0.0,4.0,0.0,0.010190098746534204,0.7003820064710453
allen_cahn,fno,supervised_only,1401,0.31552809476852417,0.0,0.00040465325582772493,0.0,4.0,0.0,0.1399507797541446,0.8815390028757975
burgers,tapinn,physics_trained,10729,0.3268469572067261,0.0,0.02263621613383293,0.0,4.0,0.0,0.012858570498792687,0.798292996478267
burgers,standard_pinn,physics_trained,8641,0.278489351272583,0.0,0.011767265386879444,0.0,4.0,0.0,0.009652892247686395,0.5253940034890547
burgers,hyperpinn,physics_trained,40225,0.2679234445095062,0.0,0.0043664188124239445,0.0,4.0,0.0,0.010625388749758713,0.6567439995706081
burgers,deeponet,physics_trained,17856,0.3057878017425537,0.0,0.005982276517897844,0.0,4.0,0.0,0.010100121991854394,0.6556270091095939
burgers,fno,supervised_only,1401,0.38225868344306946,0.0,8.423419785685837e-05,0.0,4.0,0.0,0.003531109497998841,0.8649829978821799
kuramoto_sivashinsky,tapinn,physics_trained,9193,0.11622107028961182,0.0,0.0003765873552765697,0.0,4.0,0.0,0.030593060746468836,0.8735060109756887
kuramoto_sivashinsky,standard_pinn,physics_trained,8641,0.15644486248493195,0.0,0.013899360783398151,0.0,4.0,0.0,0.02664132774589234,0.5408979923231527
kuramoto_sivashinsky,hyperpinn,physics_trained,40225,0.1493881344795227,0.0,4.203288335702382e-05,0.0,4.0,0.0,0.019759318503929535,0.6359030085150152
kuramoto_sivashinsky,deeponet,physics_trained,13760,0.09330568462610245,0.0,0.003728556213900447,0.0,4.0,0.0,0.019828772245091386,0.6838539993623272
kuramoto_sivashinsky,fno,supervised_only,889,0.34225597977638245,0.0,3.424928991080378e-06,0.0,4.0,0.0,0.004435432005266193,0.8431130117969587
