problem,seed,model,comparison_group,data_mse,physics_residual,param_count,epochs_trained,best_val_loss,seconds_per_epoch,inference_ms
allen_cahn,42,tapinn,physics_trained,0.1848464459180832,0.05446284916251898,16361,35,0.17395128309726715,0.08586276502880667,13.235755250207148
allen_cahn,42,standard_pinn,physics_trained,0.13982056081295013,0.018106843810528517,8641,51,0.12389016151428223,0.024110509822825334,26.28309349893243
allen_cahn,42,hyperpinn,physics_trained,0.08595190197229385,0.014057198190130293,40225,89,0.07451529055833817,0.0263826788654564,0.4111775015189778
allen_cahn,42,deeponet,physics_trained,0.1201031431555748,0.03006447246298194,45504,51,0.09879783540964127,0.024054090274719286,0.17515175204607658
allen_cahn,42,fno,supervised_only,0.06946036964654922,11.705577611923218,44257,100,0.08041191101074219,0.027061271690763535,0.2424220001557842
allen_cahn,43,tapinn,physics_trained,0.1913899928331375,0.05603134073317051,16361,39,0.18865951895713806,0.03101457448792644,0.20771850176970474
allen_cahn,43,standard_pinn,physics_trained,0.06772860884666443,0.01694639027118683,8641,100,0.05836845561861992,0.024574197660549545,0.12019050336675718
allen_cahn,43,hyperpinn,physics_trained,0.09468415379524231,0.014499291544780135,40225,74,0.04791782796382904,0.025555093500352576,0.16923174916883
allen_cahn,43,deeponet,physics_trained,0.07576429098844528,0.07633689325302839,45504,100,0.05657821148633957,0.024358290109666995,0.1659340014157351
allen_cahn,43,fno,supervised_only,0.05832235887646675,17.402344465255737,44257,100,0.048268117010593414,0.01445947384039755,0.2759217495622579
allen_cahn,44,tapinn,physics_trained,0.21830807626247406,0.06688929162919521,16361,44,0.17139080166816711,0.02860318452241534,0.19677299860632047
allen_cahn,44,standard_pinn,physics_trained,0.15917712450027466,0.03798719495534897,8641,44,0.12010373920202255,0.023805188498623796,0.1138992483902257
allen_cahn,44,hyperpinn,physics_trained,0.05556349828839302,0.01222176174633205,40225,100,0.04607684910297394,0.02598604237937252,0.17540299813845195
allen_cahn,44,deeponet,physics_trained,0.1825551986694336,0.03380637848749757,45504,25,0.12368936836719513,0.024716543400427327,0.15171125050983392
allen_cahn,44,fno,supervised_only,0.05303533375263214,14.009359359741211,44257,100,0.044564925134181976,0.01441857447993243,0.25181199816870503
