problem,model,noise_sigma,data_mse_mean,data_mse_std,physics_residual_mean,physics_residual_std,forecast_error_mean,forecast_error_std
duffing,tapinn,0.0,0.21144002676010132,0.018655614505535677,0.05943309503130851,0.002287133740905126,0.2135697692632675,0.01957739191904465
duffing,fno,0.0,0.1210373431444168,0.033024418662660794,0.12745465774606995,0.02008922076376334,0.1334843412041664,0.036607119391416185
duffing,tapinn,0.05,0.21145965158939362,0.018655839984925503,0.05964187468143183,0.0026098973567708884,0.21361073851585388,0.01954849038454661
duffing,fno,0.05,0.1225285843014717,0.030524814587165817,0.12361899218775065,0.01844477043766536,0.1348397061228752,0.034031802108777556
duffing,tapinn,0.1,0.2109001636505127,0.018276456545308295,0.059554814336245813,0.0026486194319206733,0.2130747616291046,0.01915076744262437
duffing,fno,0.1,0.12218319922685623,0.03007049309810186,0.12235956033422604,0.01735231101784855,0.13438741415739058,0.03352980321089802
duffing,tapinn,0.25,0.2120754212141037,0.017791010787508433,0.059638580592888096,0.0025871859327514096,0.21421085596084594,0.018835206544854557
duffing,fno,0.25,0.11969574838876725,0.023423058998015743,0.12022877881788017,0.01695067863089038,0.13137736320495605,0.026146227986256067
duffing,tapinn,0.5,0.2122563898563385,0.017643795449633272,0.06007379541779333,0.0027429356614506895,0.2144165337085724,0.018747452364597742
duffing,fno,0.5,0.12458672523498535,0.015757792697303312,0.11479867870290689,0.014744662076501042,0.13519550114870071,0.016096185238898792
allen_cahn,tapinn,0.0,0.24808281362056733,0.033983762921882384,0.11844447448849678,0.10431501866084629,0.24856952726840972,0.0340674465573073
allen_cahn,fno,0.0,0.032240509241819384,0.012818075410009698,7.62223744392395,3.4572968765902186,0.03221692703664303,0.012771624843308247
allen_cahn,tapinn,0.05,0.24799116849899291,0.034070974440338055,0.11819215714931489,0.10353595389981818,0.24847833216190338,0.0341537627864976
allen_cahn,fno,0.05,0.03266310729086399,0.011584498237070853,6.8806337547302245,1.8956500660978144,0.032657739520072934,0.011538516466518257
allen_cahn,tapinn,0.1,0.24766635596752168,0.03399397055384049,0.11840471163392068,0.10050295532192478,0.2481524258852005,0.03407846229988519
allen_cahn,fno,0.1,0.03237089812755585,0.00908040592390892,7.269209003448486,3.2318195452026397,0.03237082734704018,0.00906497573400622
allen_cahn,tapinn,0.25,0.24709828197956085,0.03409643969036431,0.11962058633565903,0.09978389271283268,0.24758374094963073,0.03418103488320827
allen_cahn,fno,0.25,0.03357346281409264,0.011378136798443877,8.504853229522706,3.3695774385992125,0.033600179478526115,0.011389760540178664
allen_cahn,tapinn,0.5,0.24684865772724152,0.03406442370101158,0.1201181934773922,0.09962105269552021,0.24733523428440093,0.034148353700954
allen_cahn,fno,0.5,0.04422889053821564,0.01417461371186881,11.740755691528319,3.4406930583413766,0.04411690756678581,0.01415547304101464
