problem,model,window_fraction,observed_steps,forecast_error_mean,forecast_error_std
duffing,tapinn,0.05,8,0.45473049879074096,0.05257784823302616
duffing,fno,0.05,8,0.3276751279830933,0.03896283075709259
duffing,tapinn,0.1,16,0.4629508137702942,0.05288334800341253
duffing,fno,0.1,16,0.3588135302066803,0.12473276245053175
duffing,tapinn,0.2,32,0.4783172786235809,0.06006943931406571
duffing,fno,0.2,32,0.35492630004882814,0.0845353477057487
allen_cahn,tapinn,0.05,2,0.17859127521514892,0.02311302399205743
allen_cahn,fno,0.05,2,0.03316456340253353,0.010406233889970784
allen_cahn,tapinn,0.1,3,0.17971094846725463,0.0193352312716984
allen_cahn,fno,0.1,3,0.033609312027692795,0.008403690208423171
allen_cahn,tapinn,0.2,7,0.18161960542201996,0.020099928979854076
allen_cahn,fno,0.2,7,0.032889047637581825,0.011531784808557521
